Car Model,Year,Battery Capacity (kWh)
Tesla Model S,2012,85
Tesla Model S,2013,85
Tesla Model S,2014,85
Tesla Model S,2015,85
Tesla Model S,2016,90
Tesla Model S,2017,100
Tesla Model S,2018,100
Tesla Model S,2019,100
Tesla Model S,2020,100
Tesla Model S,2021,100
Tesla Model X,2016,90
Tesla Model X,2017,100
Tesla Model X,2018,100
Tesla Model X,2019,100
Tesla Model X,2020,100
Tesla Model X,2021,100
Chevrolet Bolt,2017,60
Chevrolet Bolt,2018,60
Chevrolet Bolt,2019,60
Chevrolet Bolt,2020,66
Chevrolet Bolt,2021,66
Nissan Leaf,2011,24
Nissan Leaf,2012,24
Nissan Leaf,2013,24
Nissan Leaf,2014,24
Nissan Leaf,2015,30
Nissan Leaf,2016,30
Nissan Leaf,2017,40
Nissan Leaf,2018,40
Nissan Leaf,2019,40
Nissan Leaf,2020,40
Nissan Leaf,2021,40
